courses_list,occupation
"['Analysis of Algorithms', 'C Language Programming', 'Computer Communication and Networking', 'Computer Systems', 'Distributed Systems and Cloud Computing', 'Distribution Theory', 'Internet Protocols and Modeling', 'Microprocessor', 'Probability Theory and Mathematical Statistics', 'Software Engineering']",Actively Seeking for Software Engineer Full-time / Internship Opportunities
"['Applied Statistical Methods 1', 'Computational Methods', 'Electromagnetic Properties of Materials', 'Elements of Materials Science and Engineering 1', 'Energetics', 'Kinetics in Materials Science', 'Materials for Energy Generation and Storage', 'Mechanical Behavior of Materials', 'Nanoscale Modeling and Simulations: Density Functional Theory', 'Nanoscale Modeling and Simulations: Molecular Dynamics']",Research Assistant at University of Pittsburgh
"['Bookkeeping Accounting', 'Business Software MS Excel Advanced', 'Business Software MS Word', 'C++ programming', 'Data Structures', 'Econometric and Statistics', 'International Monetary Policy', 'International Trade', 'Introduction to Finance', 'Introduction to Marketing']",Co-Founding Partner at GCP- Executive Search Firm
"['Aerodynamics', 'Algorithms', 'Computer Organization', 'Data Structure and Algorithms', 'Database', 'Flight Controls', 'Introduction to Artificial Intellegance', 'Mobile App Design', 'Numerical Methods', 'Operating System']",Software Enigneer at Yelp
"['Computer Organization and Architechture', 'Data Structure and Algorithm', 'Distributed System & Cloud Computing', 'Knowledge Discovery and Data Mining', 'Operating System']",Software Engineer
"['Advanced Language Program Designing', 'Advanced Mathematics', 'Artificial Intelligence and Application', 'C Program Design', 'Circuit and Electronics', 'Computer Image Processing', 'Computer Network System', 'Computer System Structure', 'Data Mining CRM', 'Data Structure']",Senior Application Engineer at Oracle
"['Algorithms Analysis', 'Computer Networks', 'Computer Organizations & System', 'Data Mining', 'Database Systems', 'Distributed Data Management', 'Java & OOD', 'Machine Learning', 'Practical Unix', 'Principles of Computer System']",Software Engineer Intern at Cloudera
"['Analysis of Algorithms', 'Database Systems', 'Foundations of Artificial Intelligence', 'Information Retrieval and Web Search Engines', 'Introduction to Computer Networks', 'Introduction to Programming Systems Design', 'Multimedia Systems Design', 'Operating Systems', 'Professional Writing and Communication for Computer Scientists', 'Web Technologies']","SDE at Amazon, Alexa Shopping Team"
"['C/C++ Programmming Language', 'Cloud Computing', 'Computer Networks', 'Computer System and Components', 'Data Structures and Algorithms', 'Decision Analysis and Engineering Economics for Software Engineers', 'Enterprise Innovation', 'Foundation of Software Enginnering', 'Fundamentals of Compiling', 'Fundamentals of Database']",CMU MS in SE seeking fulltime SDE 2018 | Amazon | Tencent | CMU | MS | AWS |
"['Agile Software Development', 'Data structures and Algorithms', 'Engineering Big data Systems', 'Information Retrieval', 'Multithreading and Concurrent Processes', 'Object Oriented Software Design', 'Software Engineering', 'Web Tools and Web Design']",Software Engineer at GE
"['Cloud Computing', 'Computer Networks', 'Database Applicaitons', 'Distributed Systems', 'Fundamentals of Embedded Systems', 'Introduction to Computer Systems', 'Machine Learning', 'Operating System Design and Implementation', 'Parallel Computer Architecture and Programming', 'Parallel and Sequential Data Structures and Algorithms']",Software Engineer at Uber
"['Codeacademy', 'Treehouse']",Co founding CEO at HeroBakery
"['Cloud Computing', 'Database Application', 'Distributed Systems', 'Embeded System', 'Fundamentals of Telecommunications Networks', 'Introduction to Computer Systems', 'Operating System Design and Implementation', 'Service Oriented Computing']",Software Engineering MTS at Salesforce
"['Advanced Mathematics', 'Business Economic Management', 'C Programming', 'C++ Programming', 'Celluar Mobile Communication', 'Communication Theory', 'Compiler Method', 'Computer Control Systems', 'Computer Network', 'Computer Organization Pinciple']",MOZAT Pte Ltd - Software Engineer
"['Applied Statistics', 'Economy', 'International Business Strategy', 'International Relations', 'Marketing Management', 'Marketing Practice']",Sales Manager at Tencent
"['Algorithms', 'Discrete and Data Structures', 'Intensive Fundamentals of Computer Science', 'MEAN Stack Web Development', 'Object-oriented Design in Java']",M.S. Student in Computer Science | Actively Seeking 2018 Summer SDE Internship
"['Advanced Graphic Design', 'Analytic Product Design', 'Automatic Control', 'Cognitive Ergonomic', 'Design Process Model', 'Design of Digital Control Systems', 'Design of Manufacturability', 'Electronic Engineering', 'Fundamentals Human Behavior', 'Graphic Design']",UX Designer
"['Analysis of Algorithm', 'Big Data Analytics', 'C++', 'Computer Network', 'Data Structure and Algorithm Design', 'Database System', 'Java', 'Machine Learning', 'Modern Serverless Cloud Apps', 'Object-oriented Software Methodology']",CS Master Student at Columbia University | Intern at Google |Actively Seeking Full-Time Software Engineer Opportunities
"['UML', 'cloud computing', 'computer networking', 'data structures', 'database', 'discrete mathematics', 'operating systems', 'product definition', 'software design', 'software engineering']","Summer Intern@Playstation, Graduate student@CMU"
"['Algorithm Design and Analysis', 'Compiler Design and Engineering', 'Computer Architecture', 'Computer Graphics', 'Computer Networks', 'Computer Vision', 'Data Structure', 'Database Application', 'Design and Engineering of Intelligent Information System', 'Emerging Media Seminar']",Master of Science in Computer Vision
"['Artificial Intelligence', 'Cloud Computing', 'Compilation Principle & Design', 'Computational Theory & Algorithms Analysis Deisgn', 'Computer Architecture', 'Computer Network', 'Contextual Design', 'Cryptology', 'Data Structure & Algorithm Design', 'Data Warehousing and Data Mining Techniques in Business and Commerce']",Software Engineer at Oracle
"['Business stimulation training', 'Graduate Performance Management Programme', 'Principles and Practice of Leadership workshop']",University of Glasgow
"['Computational Optical Imaging', 'Data Structures and Advanced Programming', 'Hadoop and MapReduce', 'Intro to Computer Science', 'Operating Systems and Systems Programming', 'Probability/Statistics', 'Programming in C++', 'Programming in Java', 'Programming in Matlab']",Software Engineer at Google
"['Analysis of Algorithms', 'Basic Organization of Computer Systems', 'Creative Coding for the Web', 'Data Structures and Object Oriented Design', 'Database Systems', 'Design and Construction of Large Software Systems', 'Discrete Methods in Computer Science', 'Integrative Design for Mobile Devices', 'Introduction to Algorithms and Theory of Computing', 'Mobile Application Development']",Software Engineer / Front End Developer
"['Advanced Database System', 'Introduction To Database', 'Machine Learning', 'Natural Language Processing', 'Reporting']",Things Team Intern at Quartz
"['Artificial Intelligence', 'Cloud Computing', 'Computer Network', 'Computer Vision', 'Data Science', 'Data Structure and Algorithm', 'Database Management', 'Hadoop Ecosystem', 'Machine Learning', 'Operating System']",Software Engineer @ Amazon
"['A Dialogue of the Senses', 'Artificial Intelligence', 'Data Mining', 'Evaluation of Systems and Services', 'Fundamentals of Human Behaviors', 'Intelligent Interactive System (Speech Recognition and Acoustic Processing)', 'Introduction to Interaction Design', 'Machine Learning', 'Networks: Theory and Application', 'Personalization']","PhD Candidate at UofM, Character AI Engineer at Jibo"
